,0
0,-1.45387143229
1,-1.51449824128
2,-1.50743078296
3,-0.257371833944
4,-0.561522340626
5,-0.949028902966
6,-0.524847543145
7,-0.796009911324
8,-1.52662938591
9,-0.322016675648
10,-0.44573447679
11,-1.65351860514
12,-0.33739800356
13,-1.27555471354
14,-0.0324529224827
15,-1.35679073279
16,-1.30559857886
17,-0.393758388378
18,-1.19743168386
19,-1.76100296555
20,-1.09361272369
21,-0.635259305454
22,-0.669075692416
23,-0.647086633925
24,-1.93322179913
25,-0.45209667174
26,-1.15123649767
27,-0.832913458952
28,-0.877755196253
29,-0.25414198333
30,-2.09945996723
31,-0.45480251634
32,-1.19491005052
33,-0.203101294731
34,-0.268890732329
35,-0.821026018865
36,-1.66323450534
37,-0.170984696618
38,-2.13748130413
39,-0.402199386041
40,-1.8141844013
41,-0.489500338404
42,-2.47155728453
43,-2.08792548301
44,-1.65552484612
45,-0.955156270327
46,-1.96692955386
47,-1.09247649969
48,-1.01898646964
49,-2.30543127816
50,-0.495035680656
51,-1.9938424464
52,-1.21333902092
53,-1.80028101031
54,-1.29326033917
55,-1.24326945008
56,-1.31236655106
57,-1.20070392454
58,-1.96786868545
59,-0.764159506109
60,-1.55263037513
61,-1.94500781122
62,-2.34595752389
63,-0.462764974925
64,-1.18413381933
65,-2.20782900918
66,-0.96004954182
67,-1.67242514004
68,-1.35484639387
69,-0.32223902566
70,-0.886401739055
71,-0.538623998632
72,-1.03100577937
73,-1.7158041032
74,-0.445010935383
75,-0.788472052496
76,-0.545025383937
77,-1.45301025676
78,-1.09902847809
79,-1.09280914112
80,-1.58004443889
81,-0.971406680477
82,-2.06367358709
83,-0.708397503093
84,-2.4063495158
85,-1.43947415101
86,-2.54550093627
87,-1.16565241989
88,-0.0399061401362
89,-1.01063074918
90,-1.22877035076
91,-0.134369393435
92,-0.648562437092
93,-0.591939478535
94,-2.09447819329
95,-1.26420066117
96,-1.81570405734
97,-2.50435544599
98,-0.693754496037
99,-0.568389234164
100,-1.087980657
101,-0.721258625344
102,0.0668955672243
103,-0.683473211433
104,-1.58588911239
105,-0.205165650447
106,-1.84858989539
107,-0.746925419201
108,-2.12179372501
109,-0.53642206955
110,-1.14085424294
111,-1.43620564749
112,-0.738753423917
113,-1.1092083862
114,-0.38443551015
115,-1.20328576325
116,-1.30876354798
117,-0.474875698135
118,-1.09684278248
119,-0.271805254994
120,-2.36647806853
121,-1.15893579056
122,-1.84683313925
123,-0.980316511053
124,-0.452207602558
125,-1.37861579473
126,-0.60766184671
127,-0.556800700086
