,0
0,-0.385084543616
1,-0.439411596418
2,-0.335248508734
3,-0.759207507105
4,-0.394072880196
5,-0.518793394521
6,-0.480058869679
7,-0.872806102491
8,-1.18826551884
9,-0.577683124604
10,-0.589754205569
11,-0.796293103538
12,-0.23525158654
13,-0.670834169631
14,-0.482096568764
15,-0.261003109515
16,-0.669022097446
17,-0.458730805907
18,-0.94149963467
19,-0.473187405548
20,-0.924590084263
21,-0.685453445404
22,-0.385353184471
23,-0.568520451586
24,-0.38570003647
25,-0.949035766924
26,-0.78623394785
27,-0.404529571328
28,-0.741783377187
29,-0.879104576784
30,-0.775192133706
31,-0.613526922113
32,-0.355459540854
33,-0.720106609651
34,-0.218633470183
35,-0.873237296586
36,-0.299212910015
37,-0.976671264916
38,-0.588559500977
39,-0.438687454609
40,-0.323327142663
41,-0.486318061061
42,-0.463922264751
43,-1.09457575931
44,-0.809954344497
45,-0.972089705712
46,-0.721604440559
47,-0.63775440962
48,-0.68278223821
49,-0.565979047707
50,-1.07969982706
51,-0.30073931117
52,-0.658761968641
53,-0.815479489002
54,-0.595690591173
55,-0.847619396235
56,-0.750486042418
57,-0.724336169916
58,-0.573403716927
59,-0.660876712584
60,-0.405802382357
61,-0.479341208116
62,-0.57992672593
63,-0.619538155327
64,-0.621718028346
65,-0.86181582447
66,-0.315441712177
67,-0.405040509976
68,-0.677541744502
69,-1.01710316297
70,-0.702907924196
71,-1.04608623424
72,-0.537740664025
73,-0.56896319766
74,-1.07511409332
75,-0.714601917323
76,-1.04956540137
77,-0.436641478323
78,-0.345133075261
79,-0.787184496812
80,-1.24887349707
81,-0.871242805401
82,-0.368186839495
83,-0.765337031027
84,-0.524028848672
85,-0.626442952174
86,-0.528923123151
87,-0.586574795486
88,-0.292976164395
89,-0.322461075052
90,-0.590805971009
91,-1.30850682085
92,-0.83635059214
93,-0.582014469795
94,-0.723219842303
95,-0.572932369515
96,-0.479620050872
97,-0.760479129101
98,-0.192591885713
99,-0.779982893743
100,-0.536917614251
101,-0.229297194046
102,-0.692159838599
103,-0.313507937902
104,-0.94449530777
105,-0.53262443666
106,-0.887128167924
107,-0.559101355429
108,-0.602525391812
109,-0.533079988668
110,-0.791909832668
111,-1.08058795321
112,-0.693214846868
113,-0.832021397099
114,-0.700591128234
115,-0.721613492739
116,-0.320186734252
117,-0.473731852858
118,-0.712867538213
119,-0.369136682304
120,-0.811569102757
121,-0.718576899279
122,-0.871415652579
123,-0.783351839878
124,-0.537425138924
125,-0.410564612021
126,-0.328975841047
127,-0.709981772867
128,-0.610337499598
129,-0.55440311886
130,-1.10416324993
131,-1.01823797464
132,-0.789785590216
133,-0.460065715064
134,-0.538994247849
135,-0.41750428725
136,-0.616672407229
137,-0.498841555657
138,-0.610047118185
139,-0.729875014351
140,-0.370421499702
141,-0.538529820632
142,-0.490118854249
143,-0.395053564247
144,-0.608719674602
145,-0.539506760822
146,-0.540524912222
147,-0.668275101458
148,-0.838369398159
149,-0.423238916763
150,-0.493816920725
151,-0.679690137979
152,-0.962719076599
153,-0.442886912739
154,-1.42490499314
155,-0.260573571908
156,-0.389044496947
157,-0.614309453417
158,-0.530453025971
159,-0.358794481874
160,-0.214519711313
161,-0.570545273598
162,-0.43277516152
163,-0.795578096064
164,-0.474390705842
165,-0.443304866123
166,-0.449690852452
167,-0.486186196954
168,-0.861162950319
169,-0.545413732553
170,-0.265047599625
171,-0.807902587885
172,-1.43669978462
173,-0.579911913222
174,-0.448987428985
175,-0.387530131128
176,-1.06886715909
177,-0.687750248736
178,-0.624315164277
179,-1.1449169416
180,-0.653849368398
181,-0.914490355181
182,-0.330985088528
183,-0.322246171142
184,-0.560430558325
185,-1.03843052125
186,-0.462666058761
